Frequency,amp(Vo1),phase(Vo1)
500,0.25423854880000002,-1.7340460040000001
523.56427399999995,0.27921402540000001,-1.8182255709999999
548.23909800000001,0.30667710440000001,-1.9086275399999999
574.07681100000002,0.3368835443,-2.004911152
601.13221699999997,0.37012654430000003,-2.1068846460000001
629.46270600000003,0.40672778920000002,-2.2124032790000001
659.12836900000002,0.44705847009999999,-2.320971712
690.19213200000002,0.49286222860000001,-2.4489831450000001
722.71988499999998,0.53354220949999998,-2.5947375629999998
756.78062399999999,0.59353513989999995,-2.6993926840000002
792.446596,0.65456398559999995,-2.8349108269999999
829.793454,0.72119353829999999,-2.9780347530000002
868.90041399999996,0.79369072959999998,-3.148714784
909.85042899999996,0.8734574074,-3.2900024989999999
952.73035900000002,0.96243160760000002,-3.4894420739999998
997.63115700000003,1.0601465560000001,-3.6833358710000002
1044.6480650000001,1.169993168,-3.882394922
1093.8808120000001,1.291984238,-4.0914609159999999
1145.433826,1.428366561,-4.3285412330000002
1199.4164599999999,1.573875935,-4.6323061169999997
1255.9432159999999,1.7458653180000001,-4.8857215160000003
1315.133996,1.931226771,-5.1787929659999996
1377.1143520000001,2.1467029530000001,-5.5446005300000003
1442.015752,2.386709067,-5.8211178459999999
1509.97586,2.653285431,-6.2320867160000004
1581.1388300000001,2.9586326729999999,-6.6481337759999999
1655.6556069999999,3.3051088540000002,-7.1379707019999996
1733.684252,3.7014650950000001,-7.6693420689999998
1815.3902740000001,4.1581040759999999,-8.3008103999999996
1900.9469819999999,4.6835466319999997,-9.0234363769999995
1990.5358530000001,5.3049556969999996,-9.8616820920000006
2084.3469169999998,6.0347184250000003,-10.82124525
2182.5791610000001,6.9123201979999997,-12.16264421
2285.4409479999999,7.9960946020000003,-13.74924395
2393.1504620000001,9.3312797360000008,-16.047122559999998
2505.9361680000002,11.062180590000001,-19.52518109
2624.0373009999998,13.410760460000001,-24.776988889999998
2747.704369,16.68376718,-36.952095239999998
2877.1996869999998,21.09874464,-69.47269129
3012.7979300000002,20.363849500000001,-126.4720208
3154.7867219999998,15.024431829999999,-155.26864330000001
3303.4672399999999,10.99113987,-166.66091739999999
3459.1548550000002,7.9899725669999997,-171.3935042
3622.1797999999999,5.531920672,-174.4137762
3792.8878749999999,3.425185184,-176.34906050000001
3971.6411739999999,1.594236196,-177.73287590000001
4158.8188559999999,-0.0676898732,-178.85808280000001
4354.8179499999997,-1.5935303750000001,-179.6243666
4560.0541970000004,-2.9945916100000001,-180.208133
4774.9629299999997,-4.319365189,-180.68816340000001
5000,-5.5681442460000001,-181.1530937
5235.6427400000002,-6.7649871389999996,-181.5591292
5482.3909809999996,-7.909506747,-181.7935579
5740.7681069999999,-9.0036249789999996,-182.0162301
6011.3221729999996,-10.0532579,-182.2920853
6294.6270590000004,-11.09003819,-182.57509239999999
6591.2836930000003,-12.09953161,-182.7119893
6901.9213229999996,-13.08669497,-182.92070720000001
7227.1988540000002,-14.05475884,-183.02342429999999
7567.8062419999997,-15.005346830000001,-183.20001060000001
7924.4659620000002,-15.939445409999999,-183.33019849999999
8297.9345369999992,-16.85791523,-183.42018239999999
8689.0041440000005,-17.759633610000002,-183.5515858
9098.504293,-18.655078880000001,-183.607033
9527.3035899999995,-19.550429520000002,-183.70746209999999
9976.3115749999997,-20.435968089999999,-183.81262039999999
10446.48065,-21.31101786,-183.85198009999999
10938.80812,-22.171453320000001,-183.9516807
11454.33826,-23.027288899999999,-184.01344119999999
11994.1646,-23.888064750000002,-184.10855670000001
12559.43216,-24.7373014,-184.15050840000001
13151.339959999999,-25.569509289999999,-184.20154220000001
13771.14352,-26.410614349999999,-184.22335029999999
14420.157520000001,-27.248718449999998,-184.24830700000001
15099.758599999999,-28.085291130000002,-184.33563659999999
15811.388300000001,-28.908720259999999,-184.35946269999999
16556.556069999999,-29.736869420000001,-184.43569909999999
17336.842519999998,-30.578748740000002,-184.4731821
18153.902740000001,-31.388570860000002,-184.46661109999999
19009.469819999998,-32.204141219999997,-184.50342950000001
19905.358530000001,-33.017535639999998,-184.57909280000001
20843.46917,-33.853780720000003,-184.6050065
21825.79161,-34.667504139999998,-184.6704594
22854.409479999998,-35.477001430000001,-184.6643316
23931.50462,-36.298767079999998,-184.63487480000001
25059.361680000002,-37.106753150000003,-184.72431470000001
26240.373009999999,-37.904908130000003,-184.7725714
27477.043689999999,-38.686118200000003,-184.84903750000001
28771.996869999999,-39.539161849999999,-184.85595269999999
30127.979299999999,-40.326026319999997,-184.81881609999999
31547.86722,-41.108001639999998,-184.8862603
33034.672400000003,-41.923345300000001,-184.87629200000001
34591.54855,-42.751378619999997,-184.89784589999999
36221.798000000003,-43.521418650000001,-184.93697370000001
37928.878750000003,-44.350354789999997,-184.8788021
39716.411740000003,-45.168275850000001,-184.96415279999999
41588.188560000002,-45.983332879999999,-184.94168490000001
43548.179499999998,-46.780115109999997,-184.99472349999999
45600.541969999998,-47.603139210000002,-185.02469170000001
47749.629300000001,-48.397698830000003,-185.0418555
50000,-49.189888379999999,-184.98820989999999
