Frequency,amp(Vo2),phase(Vo2)
500,0.34232250240000001,-4.0184056750000003
523.56427399999995,0.37605571900000001,-4.2243738349999997
548.23909800000001,0.41319340539999999,-4.4402007890000004
574.07681100000002,0.45408070299999997,-4.6698213979999998
601.13221699999997,0.49914739460000002,-4.9075291630000004
629.46270600000003,0.54875232139999996,-5.1695684389999998
659.12836900000002,0.60348711639999997,-5.4407982779999999
690.19213200000002,0.66526343450000003,-5.7356054990000001
722.71988499999998,0.72368236829999999,-6.0621197990000004
756.78062399999999,0.80321188539999999,-6.3751979380000003
792.446596,0.88597972719999996,-6.7236925750000003
829.793454,0.97682157160000005,-7.0988064639999999
868.90041399999996,1.0763560350000001,-7.5159454739999996
909.85042899999996,1.186037362,-7.9336305859999996
952.73035900000002,1.3088322830000001,-8.412487423
997.63115700000003,1.4440779969999999,-8.9442457940000004
1044.6480650000001,1.5962713310000001,-9.4832287980000007
1093.8808120000001,1.7654889709999999,-10.10541987
1145.433826,1.9552878220000001,-10.787987190000001
1199.4164599999999,2.1618989200000001,-11.55682921
1255.9432159999999,2.4003568569999998,-12.385456140000001
1315.133996,2.6672100639999998,-13.297282389999999
1377.1143520000001,2.9702068389999998,-14.37258033
1442.015752,3.3123479979999999,-15.49250576
1509.97586,3.6967266479999998,-16.895635500000001
1581.1388300000001,4.1378103340000001,-18.48478398
1655.6556069999999,4.6411569659999996,-20.380938239999999
1733.684252,5.2218378740000002,-22.668716880000002
1815.3902740000001,5.8914602159999996,-25.517730190000002
1900.9469819999999,6.6654713430000001,-29.039507189999998
1990.5358530000001,7.5622895120000004,-33.646292359999997
2084.3469169999998,8.5892131529999993,-39.812712939999997
2182.5791610000001,9.7178639849999993,-48.431536489999999
2285.4409479999999,10.845600709999999,-60.420933589999997
2393.1504620000001,11.66575898,-77.097581730000002
2505.9361680000002,11.69226297,-97.094571149999993
2624.0373009999998,10.701675549999999,-116.3736747
2747.704369,9.004899387,-131.85302780000001
2877.1996869999998,7.0626597660000003,-142.99058840000001
3012.7979300000002,5.1578650770000003,-150.88676359999999
3154.7867219999998,3.3506789760000002,-156.4754647
3303.4672399999999,1.6808099460000001,-160.74181999999999
3459.1548550000002,0.13305612480000001,-163.8988621
3622.1797999999999,-1.326638363,-166.4487139
3792.8878749999999,-2.6921917130000002,-168.50979799999999
3971.6411739999999,-3.9850879859999999,-170.19069300000001
4158.8188559999999,-5.2144479539999997,-171.61932419999999
4354.8179499999997,-6.3904354459999997,-172.7509077
4560.0541970000004,-7.5283412319999998,-173.80506800000001
4774.9629299999997,-8.6199744819999999,-174.68723890000001
5000,-9.6860298839999999,-175.4730883
5235.6427400000002,-10.719505440000001,-176.1654667
5482.3909809999996,-11.721577659999999,-176.7864888
5740.7681069999999,-12.703480949999999,-177.33792410000001
6011.3221729999996,-13.674886320000001,-177.87066050000001
6294.6270590000004,-14.62180536,-178.28669980000001
6591.2836930000003,-15.55231704,-178.7684198
6901.9213229999996,-16.47299967,-179.1231981
7227.1988540000002,-17.388477819999999,-179.4897986
7567.8062419999997,-18.28767414,-179.83711819999999
7924.4659620000002,-19.175051440000001,-180.12278240000001
8297.9345369999992,-20.053233339999998,-180.3400192
8689.0041440000005,-20.915836970000001,-180.64469700000001
9098.504293,-21.793538900000001,-180.8374244
9527.3035899999995,-22.649541620000001,-181.12317849999999
9976.3115749999997,-23.512419569999999,-181.32181370000001
10446.48065,-24.351072550000001,-181.46408959999999
10938.80812,-25.19250268,-181.7332677
11454.33826,-26.032526140000002,-181.90694339999999
11994.1646,-26.872092030000001,-182.0223096
12559.43216,-27.730114570000001,-182.27855679999999
13151.339959999999,-28.541273990000001,-182.42976759999999
13771.14352,-29.374328609999999,-182.6139283
14420.157520000001,-30.19499888,-182.6026889
15099.758599999999,-31.00526992,-182.7878728
15811.388300000001,-31.82620313,-182.8979477
16556.556069999999,-32.64878057,-182.9814489
17336.842519999998,-33.46407078,-183.1106011
18153.902740000001,-34.289687790000002,-183.14498280000001
19009.469819999998,-35.108340669999997,-183.24375209999999
19905.358530000001,-35.918548129999998,-183.38488939999999
20843.46917,-36.724637489999999,-183.4153694
21825.79161,-37.549437050000002,-183.5775969
22854.409479999998,-38.352602580000003,-183.65840230000001
23931.50462,-39.159659329999997,-183.73611349999999
25059.361680000002,-39.968468059999999,-183.84219450000001
26240.373009999999,-40.761858189999998,-183.8301112
27477.043689999999,-41.563087629999998,-183.93182820000001
28771.996869999999,-42.372646260000003,-183.9508931
30127.979299999999,-43.16542621,-184.03386560000001
31547.86722,-43.983847109999999,-184.1061722
33034.672400000003,-44.780923170000001,-184.1721335
34591.54855,-45.584304830000001,-184.19763159999999
36221.798000000003,-46.397910170000003,-184.21871490000001
37928.878750000003,-47.202128940000001,-184.28134969999999
39716.411740000003,-48.016733170000002,-184.43558239999999
41588.188560000002,-48.819429890000002,-184.41338010000001
43548.179499999998,-49.619476140000003,-184.43975130000001
45600.541969999998,-50.428886859999999,-184.4609499
47749.629300000001,-51.225292369999998,-184.4331564
50000,-52.026940770000003,-184.4995443
