Frequency,amp(Vo4),phase(Vo4)
500,-0.86932105260000003,-57.849504809999999
515.58863699999995,-0.95601797879999995,-59.771304710000003
531.66328599999997,-1.0510585670000001,-61.746018540000001
548.23909800000001,-1.155110868,-63.775355070000003
565.33169899999996,-1.268828206,-65.858141259999996
582.95720100000005,-1.392861152,-67.985846769999995
601.13221699999997,-1.5279139749999999,-70.166606110000004
619.87388199999998,-1.673786561,-72.394780319999995
639.19985999999994,-1.8402235410000001,-74.724108860000001
659.12836900000002,-2.009554847,-77.009378369999993
679.67819499999996,-2.1942414779999999,-79.344097520000005
700.86870899999997,-2.3936426989999999,-81.730741850000001
722.71988499999998,-2.6084501680000001,-84.150668620000005
745.25232200000005,-2.8315483979999998,-86.507248509999997
768.487258,-3.0760664869999998,-88.963322250000004
792.446596,-3.3415491930000001,-91.391846470000004
817.15292099999999,-3.606529723,-93.814045759999999
842.62952199999995,-3.8938569169999999,-96.266446049999999
868.90041399999996,-4.1974713279999998,-98.688179590000004
895.99036100000001,-4.5162157000000001,-101.0953837
923.92489899999998,-4.8496643749999997,-103.48323499999999
952.73035900000002,-5.1943826340000001,-105.8624787
982.43389500000001,-5.562380825,-108.2006394
1013.063506,-5.9312768069999997,-110.48014879999999
1044.6480650000001,-6.313199987,-112.7516751
1077.217345,-6.7141766120000002,-114.9805008
1110.802046,-7.1183849800000001,-117.14041570000001
1145.433826,-7.5411985980000003,-119.3267196
1181.1453309999999,-7.9653076230000002,-121.34852840000001
1217.9702239999999,-8.4039266730000008,-123.3736952
1255.9432159999999,-8.8499563539999997,-125.3496098
1295.1001020000001,-9.3070566659999994,-127.3554417
1335.4777939999999,-9.7667275409999998,-129.15589499999999
1377.1143520000001,-10.23207773,-130.9835032
1420.0490239999999,-10.70452841,-132.73713599999999
1464.3222820000001,-11.183131270000001,-134.4796777
1509.97586,-11.668802980000001,-136.1601182
1557.052792,-12.157279219999999,-137.76378930000001
1605.5974550000001,-12.650730619999999,-139.352057
1655.6556069999999,-13.149911019999999,-140.88915399999999
1707.274437,-13.64701552,-142.37911489999999
1760.5026009999999,-14.150233419999999,-143.8500616
1815.3902740000001,-14.65969129,-145.2774402
1871.9891950000001,-15.16493657,-146.603555
1930.3527160000001,-15.6769686,-147.950467
1990.5358530000001,-16.18987379,-149.66313579999999
2052.5953359999999,-16.707963289999999,-150.49339599999999
2116.5896640000001,-17.23027781,-151.81661199999999
2182.5791610000001,-17.74114058,-152.91959249999999
2250.6260309999998,-18.260551490000001,-154.09400299999999
2320.7944170000001,-18.784697049999998,-155.3197054
2393.1504620000001,-19.307639819999999,-156.36775370000001
2467.7623709999998,-19.830462529999998,-157.44656760000001
2544.700476,-20.352493030000002,-158.4000748
2624.0373009999998,-20.876903209999998,-159.24087259999999
2705.8476329999999,-21.403424480000002,-160.1028791
2790.2085870000001,-21.92795826,-160.85081510000001
2877.1996869999998,-22.455782859999999,-161.63727359999999
2966.9029310000001,-22.984071530000001,-162.32817549999999
3059.4028790000002,-23.515864910000001,-163.09843369999999
3154.7867219999998,-24.038170600000001,-163.7518546
3253.144374,-24.56829857,-164.4541165
3354.56855,-25.09598716,-165.0571486
3459.1548550000002,-25.625084319999999,-165.7027602
3567.0018749999999,-26.162329629999999,-166.33531679999999
3678.211272,-26.682013049999998,-166.98954040000001
3792.8878749999999,-27.225842440000001,-167.48022929999999
3911.1397820000002,-27.751433630000001,-168.07928269999999
4033.0784610000001,-28.282506789999999,-168.66577670000001
4158.8188559999999,-28.80897521,-169.0614516
4288.4794929999998,-29.338836730000001,-169.55505460000001
4422.1825959999996,-29.870396920000001,-170.0396246
4560.0541970000004,-30.403300770000001,-170.5637424
4702.2242589999996,-30.934335340000001,-170.97848389999999
4848.8267960000003,-31.46519941,-171.36403999999999
5000,-31.998144549999999,-171.8480399
5155.8863730000003,-32.530885589999997,-172.26752999999999
5316.6328579999999,-33.070824029999997,-172.9057191
5482.3909809999996,-33.593908120000002,-173.02906849999999
5653.3169900000003,-34.126763969999999,-173.43217680000001
5829.5720060000003,-34.66894946,-173.80924970000001
6011.3221729999996,-35.190411419999997,-174.091339
6198.7388149999997,-35.723356250000002,-174.43766429999999
6391.9985969999998,-36.255048629999997,-174.75653449999999
6591.2836930000003,-36.788054459999998,-175.0965569
6796.781954,-37.32115975,-175.43513859999999
7008.6870920000001,-37.853187560000002,-175.69676530000001
7227.1988540000002,-38.386928230000002,-175.9825577
7452.5232169999999,-38.919218999999998,-176.2648878
7684.8725800000002,-39.454083930000003,-176.5599374
7924.4659620000002,-39.984622559999998,-176.77934149999999
8171.5292140000001,-40.517825620000004,-177.08172260000001
8426.2952239999995,-41.057805549999998,-177.29520539999999
8689.0041440000005,-41.583750080000002,-177.60301380000001
8959.9036120000001,-42.116465079999998,-177.77501290000001
9239.2489870000009,-42.648535690000003,-178.0107769
9527.3035899999995,-43.183587039999999,-178.26635529999999
9824.3389499999994,-43.716071569999997,-178.48912559999999
10130.635060000001,-44.253863209999999,-178.69770030000001
10446.48065,-44.780838240000001,-178.88204959999999
10772.17345,-45.314227289999998,-179.31163309999999
11108.02046,-45.847802049999999,-179.2947954
11454.33826,-46.380503959999999,-179.4346826
